"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1033","yang punya meme kakek squid game bagi, dong ...",FALSE,0,NA,2021-12-06 09:06:04,FALSE,NA,"1467782380580532224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chatturagen",0,FALSE,FALSE,NA,NA
"1034","Wi Ha Joon Ungkap Alasan Bintangi 'Bad and Crazy' Usai Curi Perhatian di 'Squid Game' https://t.co/hvRvpzrDY8",FALSE,0,NA,2021-12-06 09:00:19,FALSE,NA,"1467780935412326400",NA,"<a href=""http://www.dreamers.id"" rel=""nofollow"">Dreamers Autotweet</a>","DreamersRadioID",0,FALSE,FALSE,NA,NA
"1035","Saya menjual SQUID GAME Topi Anak ... seharga Rp14.900. Dapatkan di Shopee sekarang! https://t.co/tyJOvYVaCK… https://t.co/9f3fPDz2Uq",FALSE,0,NA,2021-12-06 08:50:26,TRUE,NA,"1467778447095189509",NA,"<a href=""http://shopee.co.id/mobile/"" rel=""nofollow"">Shopee_ID</a>","TukangTopi",0,FALSE,FALSE,NA,NA
"1036","adaaa, 170k/bulan

NETFLIX <U+0001F3A5>

 —HARIAN 
1 HARI : 4K
3 HARI : 8K
7 HARI : 13K
—SHARING 
1 BULAN : 38k
—PRIVATE 
1 BU… https://t.co/it5se0Gx5n",FALSE,0,NA,2021-12-06 08:50:05,TRUE,NA,"1467778359971094530",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stairysz",0,FALSE,FALSE,NA,NA
"1037","<U+0001F37F>Netflix Premium<U+0001F37F>
—ANTI VPN

Sharing
<U+2611><U+FE0F>13k/7hr
<U+2611><U+FE0F>40k/bln
<U+2611><U+FE0F>115k/3bln

Private
<U+2611><U+FE0F>175k/bln 

Dijamin:
<U+2714><U+FE0F>Profil di Pin… https://t.co/vXlzRWc2L7",FALSE,0,"itsnewttt",2021-12-06 08:48:41,TRUE,"1467778004105379843","1467778005854420992","1243159666638503938","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsnewttt",0,FALSE,FALSE,NA,NA
"1038","<U+0001F37F>Netflix Premium<U+0001F37F>
—ANTI VPN

Sharing
<U+2611><U+FE0F>13k/7hr
<U+2611><U+FE0F>40k/bln
<U+2611><U+FE0F>115k/3bln

Private
<U+2611><U+FE0F>175k/bln 

Dijamin:
<U+2714><U+FE0F>Profil di Pin… https://t.co/aW3OHzzgDR",FALSE,0,"itsnewttt",2021-12-06 08:48:40,TRUE,"1467778002410819587","1467778004105379843","1243159666638503938","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsnewttt",0,FALSE,FALSE,NA,NA
"1039","10 terbaik menurut ku deh
1. Vicenzo
2. Taxi driver
3. The veil
4. Dark Hole
5. Move To Heaven
6. Squid Game
7. My… https://t.co/KqMNvMDgFt",FALSE,0,NA,2021-12-06 08:43:41,TRUE,NA,"1467776749563891715",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saavirac",0,FALSE,FALSE,NA,NA
"1040","@BTS_twt taehyungggg kamu ada selca pake kostum squid game gak",FALSE,0,"BTS_twt",2021-12-06 08:30:16,FALSE,"1467760624461443077","1467773374118072325","335141638","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roclme",0,FALSE,FALSE,NA,NA
"1041","Wi Ha Joon Ungkap Alasan Bintangi 'Bad and Crazy' Usai Curi Perhatian di 'Squid Game' https://t.co/hvRvpzsbNG",FALSE,0,NA,2021-12-06 08:20:24,FALSE,NA,"1467770888091488258",NA,"<a href=""http://www.dreamers.id"" rel=""nofollow"">Dreamers Autotweet</a>","DreamersRadioID",0,FALSE,FALSE,NA,NA
"1042","Adelia ni banyak tengok squid game, sampai ajak aku main <U+0001F602>",FALSE,0,NA,2021-12-06 08:14:42,FALSE,NA,"1467769452909379588",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hawanis_",0,FALSE,FALSE,NA,NA
"1043","<U+0001F37F>Netflix Premium<U+0001F37F>
—ANTI VPN

Sharing
<U+2611><U+FE0F>13k/7hr
<U+2611><U+FE0F>40k/bln
<U+2611><U+FE0F>115k/3bln

Private
<U+2611><U+FE0F>175k/bln 

Dijamin:
<U+2714><U+FE0F>Profil di Pin… https://t.co/tjZNnLJ1i0",FALSE,0,"Anamshop__",2021-12-06 07:54:07,TRUE,"1467764271366881281","1467764273241747457","1325080102162423808","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anamshop__",0,FALSE,FALSE,NA,NA
"1044","<U+0001F37F>Netflix Premium<U+0001F37F>
—ANTI VPN

Sharing
<U+2611><U+FE0F>13k/7hr
<U+2611><U+FE0F>40k/bln
<U+2611><U+FE0F>115k/3bln

Private
<U+2611><U+FE0F>175k/bln 

Dijamin:
<U+2714><U+FE0F>Profil di Pin… https://t.co/pdqHQmiTAO",FALSE,0,"Anamshop__",2021-12-06 07:54:06,TRUE,"1467764269563334656","1467764271366881281","1325080102162423808","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anamshop__",0,FALSE,FALSE,NA,NA
"1045","Jadi ceritanya kayak pake pemain eternal king monarch dicampur cerita squid game tp temanya kayak pirate gt trs ada… https://t.co/kL9q2FaigD",FALSE,0,"bukdeongeorii",2021-12-06 07:51:55,TRUE,"1467633402006290432","1467763720344375298","1395974579638599693","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bukdeongeorii",0,FALSE,FALSE,NA,NA
"1046","pengen nonton taxi driver sama squid game deh tp kapan ya ada waktu<U+0001F614>",FALSE,0,NA,2021-12-06 07:47:45,FALSE,NA,"1467762671399280642",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lemonadeyeoll",0,FALSE,FALSE,NA,NA
"1047","@Netflix_INSouth Hey Netflix squid game ah dub panna mathiri ithaiyum dub pannunga    
Apdi nenga panna romba santh… https://t.co/Fa6MdogVhT",FALSE,21,"Netflix_INSouth",2021-12-06 07:45:07,TRUE,"1467734040065167361","1467762011253600259","1410957629296234500","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bheemavinayrs",2,FALSE,FALSE,NA,NA
