"","text"
"377","   vincenzo my name hosay rnah coba  homcha nevertheless ta ga selesai huh "
"378"," huhu foto kostum     feeds  has"
"379","kim    nanya doang gimana ya  klo  akses ditututae  "
"380"," g st whatever you want kmu st foto cukuran foto shirtless foto   ga  seriusan  "
"381","    doang "
"382","   diatas rangga sia mirisaebyeok  "
"383","itzy am aktor   heo sung   berkolaborasi  penamlan ssial   mama "
"384","mnet asian music awards  mama   mengumumkan kolaborasi   terduga celebritiesdotid "
"385","kena  delete gambar   tuya amnnnn"
"386","belom kelar iniiii gemesnya ama taekook selca   dibikin gemes    bikin instastory kostum squi "
"387","oh  sadar foto    dihas  feed ntesan  weverse  rekaya gitu"
"388","   pake kostum    dihapus "
"389","   pake kostum    dihapus "
"390"," stingan   dihas dijadiin igs"
"391","yahh yaamn am dihas loh sm  fotonya  e kostum   just do it whatever you want to do  "
"392","    itun  e   ga salah"
"393"," iya  nyadar foto   baju    dihas "
"394"," diapus    "
"395"," ku  tar has foto terbaru  foto baju  "
"396"," ahh ga  td ku   has foto terbaru  ga taunya  dihas foto  "
"397","anjir manusia   sih  bikin  ngapus postingan costume  "
"398","foto te   baju    difotoin sia ya  kek fs njir"
"399","why v delete his   st alaaaa sibuk nau dgn ig estetik tu "
"400","  delete gmbq    tusbb   tegur insta vibes kena tah"
"401","  vincezo    ga am selesai nontonnya"
"402","huaaawhy  delete gmbr  dgn   costume tu"
"403","  iya bru sadar   "
"404","google indonesia  merilis daftar tok  ling  dicari alias google year in search  tok "
"405"," uncanny counter homecha hosay   dodosolsollalasol  kudu  sih  lucu  "
"406","lan    kostumlu fotosunu silmis wldmek jk ile cidden dalga geciyo"
"407","oalah jd    dias karna ga insta vibe  ga selaras  feeds gt ya "
"408","kntaehyung delete gambar   tustu st kt ig story lak susah  la  faham  kim "
"409","    doang"
"410","captionnya  kek jungkook    hapus foto      feed byeeeeeeeeeeeeeee "
"411","  foto    dihas ya"
"412","postingan    baju      archive ya    ngen bikin feeds estetik  deh "
"413"," mjb  dikonser   "
"414","sia  marahin  karna sting foto cosay     biar  marahin    biarin taeh "
"415"," suka    yaa wkwkwk "
"416","aoo  delete st   tu susah susah    rest   m likes lak tu"
"417","orang rumah pls stop kenser lagunya   busuk telinga w bngun pagi ampe  tidur denger"
"418","   vincenzo doang   blm semt ya amn "
"419","sti jungkook  ngasih tau   stan      gk instagramable wkwk biar  temennya  "
"420","  has foto  s  kostum    ga estetik gitu ya  masuk feeds ig hahah sayangku gemes bangetttt"
